filename,leaf-dim-unit,leaf-height,leaf-width,writtenHeight,writtenWidth,LeafDivWritten
collections\Ashmole\MS_Ashmole_46.xml,mm,215,170,145,95,1.4827586206896552
collections\Ashmole\MS_Ashmole_5.xml,,,,,,
collections\Ashmole\MS_Ashmole_52.xml,,,,,,
collections\Ashmole\MS_Ashmole_54.xml,,,,,,
collections\Ashmole\MS_Ashmole_56.xml,,,,,,
collections\Ashmole\MS_Ashmole_59.xml,mm,275,196,201-210,102-130,
collections\Ashmole\MS_Ashmole_6.xml,,,,,,
collections\Ashmole\MS_Ashmole_60.xml,,,,,,
collections\Ashmole\MS_Ashmole_61.xml,mm,417.5,139.5,350,70,1.1928571428571428
collections\Ashmole\MS_Ashmole_748.xml,,,,,,
collections\Ashmole\MS_Ashmole_750.xml,,,,,,
collections\Ashmole\MS_Ashmole_751.xml,,,,,,
collections\Ashmole\MS_Ashmole_753.xml,,,,,,
collections\Ashmole\MS_Ashmole_754.xml,,,,,,
collections\Ashmole\MS_Ashmole_757.xml,,,,,,
collections\Ashmole\MS_Ashmole_758.xml,,,,,,
collections\Ashmole\MS_Ashmole_759.xml,,,,,,
collections\Ashmole\MS_Ashmole_764.xml,,,,,,
collections\Ashmole\MS_Ashmole_769.xml,,,,,,
collections\Ashmole\MS_Ashmole_770.xml,,,,,,
collections\Ashmole\MS_Ashmole_771.xml,,,,,,
collections\Ashmole\MS_Ashmole_772.xml,,,,,,
collections\Ashmole\MS_Ashmole_773.xml,,,,,,
collections\Ashmole\MS_Ashmole_774.xml,,,,,,
collections\Ashmole\MS_Ashmole_775.xml,,,,,,
collections\Ashmole\MS_Ashmole_778.xml,,,,,,
collections\Ashmole\MS_Ashmole_789.xml,,,,,,
collections\Ashmole\MS_Ashmole_790.xml,,,,,,
collections\Ashmole\MS_Ashmole_791.xml,,,,,,
collections\Ashmole\MS_Ashmole_793.xml,,,,,,
collections\Ashmole\MS_Ashmole_794.xml,,,,,,
collections\Ashmole\MS_Ashmole_796.xml,,,,,,
collections\Ashmole\MS_Ashmole_8.xml,,,,,,
collections\Ashmole\MS_Ashmole_801.xml,,,,,,
collections\Ashmole\MS_Ashmole_804.xml,mm,300,143,,,
collections\Ashmole\MS_Ashmole_806.xml,,,,,,
collections\Ashmole\MS_Ashmole_811.xml,,,,,,
collections\Ashmole\MS_Ashmole_812.xml,,,,,,
collections\Ashmole\MS_Ashmole_813.xml,,,,,,
collections\Ashmole\MS_Ashmole_820.xml,,,,,,
collections\Ashmole\MS_Ashmole_828.xml,,,,,,
collections\Ashmole\MS_Ashmole_831.xml,,,,,,
collections\Ashmole\MS_Ashmole_837.xml,,,,,,
collections\Ashmole\MS_Ashmole_840.xml,,,,,,
collections\Ashmole\MS_Ashmole_845.xml,,,,,,
collections\Ashmole\MS_Ashmole_970.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_1.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_11.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_12.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_14.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_16.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_19.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_21.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_22.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_26.xml,,,,,,
collections\Ash_Rolls\MS_Ash_Rolls_29.xml,,,,,,
